ROG3,Ctry,PeopleID3,PeopNameInCountry,PeopleID1,AffinityBloc,PeopleID2,PeopleCluster,PrimaryReligionPC,ROL3,PrimaryLanguageName,Population,10_40Window,LocationInCountry,PrimaryReligion,PercentEvangelical,PercentAdherents,LeastReached,JPScale,BibleStatus,JF,AudioRecordings,NTOnline,IndigenousCode,Latitude,Longitude,PhotoAddress,MapAddress
AF,Afeganistão,14372,afegão,14,Iranianos-Medos,268,Persian,Islã,prs,Dari,10585000,Y,Widespread.,Islã,0.010,0.010,Y,1,5,Y,Y,PRSGNNN2DA,Y,31.15621,62.14612,p14372.jpg,m14372_af.png
AF,Afeganistão,19409,Afshari,24,"Povos Túrquicos",126,Azerbaijani,Islã,azb,"Azerbaijani, South",15000,Y,"Afshari in small groups north of Kabul, Chandaul quarter of Kabul City, Herat City",Islã,0.039,0.039,Y,1,5,Y,Y,AZBEMV,N,34.447959999954,69.2897600000239,p19409.jpg,
AF,Afeganistão,21454,Aimaq,14,Iranianos-Medos,268,Persian,Islã,aiq,Aimaq,1595000,Y,"Badghis, Ghowr, and Herat provinces; Farah and Faryab provinces: smaller border areas; west of Hazara.",Islã,0.000,0.000,Y,1,1,N,N,,Y,35.00501,63.128594,p21454.jpg,m21454_af.png
AF,Afeganistão,16221,Ansari,21,"Povos do Sul Asiático",452,"South Asia Muslim - Ansari",Islã,urd,Urdu,2400,Y,,Islã,0.000,0.000,Y,1,5,Y,Y,URDPAKN2DA,N,34.5477699999855,69.3198000003697,p16221.jpg,m16221.png
AF,Afeganistão,15202,"Arab, Tajiki",10,"Mundo Árabe",324,"Arab World, general",Islã,abh,"Arabic, Tajiki Spoken",18000,Y,"Balkh province: Dawlatabad district, Khushalabad, Yakhdan; Jowzjan province: Mingajik district, Sultan Arigh; Sheberghan district, Hasanabad.",Islã,0.200,0.200,Y,1,1,N,Y,,N,36.9447,66.80422,p15202.jpg,m00105.png
AF,Afeganistão,16239,"Arora hindu",21,"Povos do Sul Asiático",442,"South Asia Hindu - other",Hinduísmo,skr,Saraiki,1500,Y,,Hinduísmo,0.000,0.000,Y,1,3,Y,Y,,N,36.187213,70.980606,p16239.jpg,m16239.png
AF,Afeganistão,15356,"Baloch ocidental",21,"Povos do Sul Asiático",455,Baloch,Islã,bgn,"Balochi, Western",467000,Y,"Helmand, Kandahar, and Nimruz, provinces: Zaranj city and Helmand river areas.",Islã,0.009,0.009,Y,1,3,Y,Y,,Y,30.24139,63.20176,p15356.jpg,m15356_af.png
AF,Afeganistão,19423,"Bania muçulmano",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,urd,Urdu,6400,Y,,Islã,0.200,0.230,Y,1,5,Y,Y,URDPAKN2DA,N,34.375787,69.435276,,
AF,Afeganistão,10959,"Brahui kur galli",21,"Povos do Sul Asiático",456,Brahui,Islã,brh,Brahui,322000,Y,"Helmand and Kandahar provinces: Chakhansoor to Shorawak among the Balochi [bgn].",Islã,0.100,0.101,Y,1,4,Y,Y,,Y,30.0908,64.73688,p10959.jpg,m10959_af.png
AF,Afeganistão,16521,Brâmane,21,"Povos do Sul Asiático",417,"South Asia Forward Caste - Brahmin",Hinduísmo,urd,Urdu,3700,Y,,Hinduísmo,0.000,0.000,Y,1,5,Y,Y,URDPAKN2DA,N,34.294237,69.392519,p16521.jpg,m16521.png
AF,Afeganistão,12599,Cazaque,24,"Povos Túrquicos",202,Kazakh,Islã,kaz,Kazakh,3200,Y,"North, especially Chahar Dara District west of Kunduz; Khanabad and Andkhoi areas",Islã,0.000,0.000,Y,1,5,Y,Y,KAZKAZN2DA,N,36.69403,69.12301,p12599.jpg,
AF,Afeganistão,16585,Changgar,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,urd,Urdu,3100,Y,,Islã,0.000,0.000,Y,1,5,Y,Y,URDPAKN2DA,N,34.470761,69.633613,p16585.jpg,
AF,Afeganistão,14570,"Cigano balcã",12,"Povos da Eurásia",354,Romani,Cristianismo,rmn,"Romani, Balkan",17000,Y,,Islã,0.000,0.000,Y,1,5,Y,Y,,N,34.3504552842839,62.151338125554,p14570.jpg,
AF,Afeganistão,11597,"Cigano domari",14,Iranianos-Medos,353,Domari,Islã,rmt,Domari,11000,Y,Scattered.,Islã,0.000,0.015,Y,1,3,Y,Y,,N,34.47461,69.12958,p11597.jpg,
AF,Afeganistão,11510,"Darwazi, Badakhshani",14,Iranianos-Medos,299,Tajik,Islã,prs,Dari,16000,Y,"Northernmost tip of Afghanistan, Darwaz town on Amu Darya River. Possibly in Tajikistan",Islã,0.000,0.000,Y,1,5,Y,Y,PRSGNNN2DA,Y,38.05962,70.72609,p11510.jpg,m11510_af.png
AF,Afeganistão,19007,Deaf,26,Surdo,328,Deaf,Cristianismo,afg,"Afghan Sign Language",389000,Y,,Islã,,0.050,Y,1,1,N,N,,Y,34.532499999975,69.1366059996671,,
AF,Afeganistão,12741,"Garwi, Kohistani",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,gwc,Gawri,1900,Y,,Islã,0.000,0.000,Y,1,0,N,N,,Y,35.012132091223,71.448485211923,p12741.jpg,m00016.png
AF,Afeganistão,18693,"Guhjali wakhi",14,Iranianos-Medos,299,Tajik,Islã,wbl,Wakhi,21000,Y,"Badakhshan province: Wakhan district, Panj river area to Sarhad village; Khandud village is the center. 42 villages.",Islã,0.000,0.000,Y,1,3,N,Y,,Y,36.96537,72.85094,p18693.jpg,
AF,Afeganistão,17549,"Gujar muçulmano",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,gju,Gujari,18000,Y,"Scattered. Nomadic, traveling in summer in eastern valleys.",Islã,0.029,0.029,Y,1,0,N,Y,,Y,35.24842,71.48793,p17549.jpg,m17549.png
AF,Afeganistão,12076,Hazara,14,Iranianos-Medos,268,Persian,Islã,haz,Hazaragi,3891000,Y,Widespread.,Islã,0.029,0.029,Y,1,3,Y,Y,,Y,34.3503899997986,66.9410900004032,p12076.jpg,m12076_af.png
AF,Afeganistão,20542,Ishkashimi,14,Iranianos-Medos,299,Tajik,Islã,isk,Ishkashimi,3100,Y,"Badakhshan province: Ishkashim and Wakham districts; north of Ishkashim in Bahar Bazar, Darwan, Qaz Deh, Xermani, Zargaran, and Zayad villages.",Islã,0.000,0.000,Y,1,0,N,Y,,Y,36.71347,71.563232,p20542.jpg,
AF,Afeganistão,19437,"Kalash (Chitrali)",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,khw,Khowar,10000,Y,"Northern Afghanistan, the majority living in the northern provinces of Badakhshan, Kunduz, Balkh, and Takhar.",Islã,0.000,0.000,Y,1,0,N,Y,,N,36.653176,70.212641,p19437.jpg,m00012.png
AF,Afeganistão,12526,"Karakalpak de chapéu preto",24,"Povos Túrquicos",202,Kazakh,Islã,kaa,Karakalpak,3200,Y,"North of Jalalabad; south of Mazar-i Sharif",Islã,0.000,0.000,Y,1,4,Y,Y,KAAIBTN2DA,N,36.66888,67.10763,p12526.jpg,m00051.png
AF,Afeganistão,18125,"Khatri sikh",21,"Povos do Sul Asiático",470,"South Asia Sikh - other","Outra / Pequena",pan,"Punjabi, Eastern",2700,Y,,"Outra / Pequena",0.000,0.000,Y,1,5,Y,Y,PANWTCN2DA,N,34.321458,69.14323,p18125.jpg,m18125.png
AF,Afeganistão,11126,"Kurdo central",14,Iranianos-Medos,208,Kurd,Islã,ckb,"Kurdish, Central",4000,Y,,Islã,0.009,0.009,Y,1,5,Y,Y,,N,34.5155000002248,69.1952000001799,p11126.jpg,m00314.png
AF,Afeganistão,13761,Moghal,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,prs,Dari,2300,Y,"Near Herat, Kundur and Karez-i-Mulla. 2 villages",Islã,0.000,0.000,Y,1,5,Y,Y,PRSGNNN2DA,Y,34.2362626084326,62.2759217832636,p13761.jpg,m13761.png
AF,Afeganistão,13878,Munji,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,mnj,Munji,7000,Y,"Badakhshan province: Kuran wa Munjan district, Mamalgha and Munjan valleys.",Islã,0.000,0.000,Y,1,0,N,Y,,Y,35.79309,70.85744,,
AF,Afeganistão,17714,Mussali,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,pan,"Punjabi, Eastern",3200,Y,,Islã,0.000,0.000,Y,1,5,Y,Y,PANWTCN2DA,N,34.422154,69.095272,p17714.jpg,m17714.png
AF,Afeganistão,11835,"Narisati, Arandui",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,gwt,Gawar-Bati,39000,Y,"Konar province: Konar river valley. 8 or 9 villages.",Islã,0.000,0.000,Y,1,1,N,Y,,Y,35.22045,71.53814,,
AF,Afeganistão,10453,"Nuristani ashkuni",14,Iranianos-Medos,251,Nuristan,Islã,ask,Ashkun,48000,Y,"Nurestan province: Wama district, Pech valley; Duab and Nurgaram districts, east side of lower Alingar valley; Bajagal, Kolatan, Malil wa Mushfa, and Titin valleys; Konar province: Chapa Dara district.",Islã,0.000,0.000,Y,1,0,N,Y,,Y,35.11697,70.5923,,
AF,Afeganistão,10703,"Nuristani bashgali",14,Iranianos-Medos,251,Nuristan,Islã,bsh,Kati,144000,Y,"Badakhshan, Konar, and Nurestan provinces: smaller areas in Laghman and Panjshir provinces; Eastern Kativiri dialect: upper Bashgal valley (Barg-e-Matal); Mumviri dialect: Gabalgrom, Mangul, and Sasku villages in Bashgal valley; Western Kativiri dialect: Duab and Mondul districts, Ktivi (Kantiwo), Kulam, Paruk (Papruk), and Ramgal valleys.",Islã,0.000,0.101,Y,1,0,N,Y,,Y,35.48049,70.75245,p10703.jpg,m10703_af.png
AF,Afeganistão,11936,"Nuristani grangali",14,Iranianos-Medos,251,Nuristan,Islã,nli,Grangali,11000,Y,"Konar province: Grangali and Zemiaki; Kandai on south Pech river, 2 small valleys; Nangarhar province: Dara-I-Nur district; Nangalami dialect in Ningalam village where Waigal and Pech rivers meet.",Islã,0.000,0.000,Y,1,0,N,Y,,Y,34.87613,70.70943,p11936.jpg,m11936_af.png
AF,Afeganistão,12482,"Nuristani kamviri",14,Iranianos-Medos,251,Nuristan,Islã,xvi,Kamviri,22000,Y,"Nurestan province: Kamdesh and Kishtoz villages in lower Bashgal valley.",Islã,0.000,0.000,Y,1,1,N,Y,,Y,35.40963,71.32342,,
AF,Afeganistão,13431,"Nuristani malakhel",14,Iranianos-Medos,251,Nuristan,Islã,prs,Dari,3200,Y,"Southwest of Kabul, Logar north of Baraki",Islã,0.000,0.000,Y,1,5,Y,Y,PRSGNNN2DA,Y,34.13174,69.01918,,
AF,Afeganistão,14461,"Nuristani prasuni",14,Iranianos-Medos,251,Nuristan,Islã,prn,Prasuni,9700,Y,"Nurestan province: Sech, Shupu (Ishtivi, Shtevgrom), Ucu, Ushut, and Zumu villages; Prasun (Parun) valley on upper reaches of Pech river; small border area with Badakhshan province.",Islã,0.000,0.000,Y,1,1,N,Y,,Y,35.4495,70.92815,,
AF,Afeganistão,15575,"Nuristani tregami",14,Iranianos-Medos,251,Nuristan,Islã,trm,Tregami,4200,Y,"Konar province: Gambir and Katar villages in Tregam valley.",Islã,0.000,0.000,Y,1,1,N,N,,Y,35.0073,71.11979,,
